'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
152272,151436,26472,26468,160,55,5601892,34520,334676,142708,305212,5601892,8159224,24,0,78732,23772,27888,7196,296944,1530,57,-10.8001913838447,0.0677789273327534,1.52696952880859,0.200614599906876,4
152272,151436,26472,26468,160,41,5602128,34616,334660,142708,305316,5602128,8159224,52,0,78732,23772,28012,7196,296724,1530,58,-10.8106526629272,0.00934936451430701,0.850819148159199,0.495006332922461,2
152272,151436,26472,26468,160,32,5602076,34720,334660,142708,305412,5602076,8159224,144,0,78732,23772,27856,7196,296560,1020,59,-10.8340435746295,-0.242962553488454,-0.244417757066608,-0.87840383435463,1
153484,151436,26612,26468,160,16,5602428,34800,334676,142712,305500,5602428,8159224,176,0,78736,23772,27856,7196,296532,1020,60,-10.7551791407225,-0.319165105487315,-1.01508860241999,-0.543275932639537,1
153484,151436,26612,26468,160,9,5601880,34896,334676,142716,305592,5601880,8159224,12,0,78736,23772,27972,7192,296532,1020,61,-10.7540686983154,-0.373973339289904,-1.34972293349419,-0.394320993789409,1
153484,151436,26612,26468,160,64,5600936,34992,334676,142712,305688,5600936,8159224,52,0,78732,23772,27928,7196,298544,1530,62,-10.646541236124,0.142488802297663,1.96044945689373,0.00541578632274486,4
153484,151436,26612,26468,160,47,5601204,35088,334676,142716,305784,5601204,8159224,20,0,78736,23772,27844,7196,300372,1530,63,-10.5851958166721,0.151581828611654,1.13498303282737,0.354577358550394,4
153484,151436,26612,26468,160,30,5601960,35192,334676,142716,305880,5601960,8159224,44,0,78736,23772,27808,7196,298140,1530,64,-10.6739147624174,0.0048319709118374,0.318506751787859,0.719854369910651,2
153484,151436,26612,26468,160,15,5601720,35288,334676,142712,305984,5601720,8159224,20,0,78732,23772,27828,7196,298140,1020,65,-10.6906027584709,-0.265533826050628,-1.06658412709268,-0.528087713945823,1
153484,151436,26612,26468,160,9,5601644,35384,334676,142712,306080,5601644,8159224,164,0,78732,23772,27892,7192,298028,1020,66,-10.6949688193686,-0.314798286092014,-1.35384584827922,-0.40034943313333,1
153484,151436,26612,26468,160,60,5600980,35488,334680,142712,306188,5600980,8159224,152,0,78732,23772,27924,7196,295980,1530,67,-10.7376720701713,0.0300826481075376,1.77239845597092,0.0995310739601738,4
153484,151436,26612,26468,160,50,5600944,35584,334680,142720,306280,5600944,8159224,56,0,78736,23772,27836,7196,298084,1530,68,-10.6633560091215,0.0736273422852776,1.28479090727062,0.300985294555474,4
153484,151436,26612,26468,160,33,5601328,35680,334680,142720,306368,5601328,8159224,24,0,78736,23772,27948,7192,297600,1530,69,-10.6853090986945,-0.0329381952850838,0.467569400133606,0.661204210489332,2
153484,151436,26612,26468,160,21,5601788,35776,334680,142720,306472,5601788,8159224,52,0,78736,23772,27976,7192,294968,1530,70,-10.7857445892382,-0.177146236467266,-0.106449769687913,0.923262574773759,2
153484,151436,26612,26468,160,9,5601264,35872,334680,142720,306568,5601264,8159224,12,0,78736,23772,27980,7196,292552,1020,71,-10.8896508486028,-0.503862483166628,-1.34412994783773,-0.379691502291132,1
153484,151436,26612,26468,160,59,5600368,35976,334680,142724,306660,5600368,8159224,48,0,78736,23772,27980,7196,296988,1020,72,-10.7076124334636,-0.152851360343547,1.06161515748924,-1.44563056397724,3
153484,151436,26612,26468,160,46,5600356,36072,334680,142728,306764,5600356,8159224,144,0,78740,23772,27864,7196,299048,1020,73,-10.636226804913,-0.117930056160475,0.428383027641077,-1.18153372604251,3
153484,151436,26612,26468,160,31,5600228,36184,334680,142732,306864,5600228,8159224,176,0,78740,23772,27892,7196,296976,1020,74,-10.7155379461358,-0.25138262871593,-0.291913907508086,-0.858801854946584,1
153484,151436,26612,26468,160,18,5600696,36280,334684,142732,306972,5600696,8159224,20,0,78740,23772,27860,7192,296768,1530,75,-10.7145770815008,-0.120051407886692,-0.255573595374743,0.979261380245536,2
153484,151436,26612,26468,160,9,5600512,36376,334684,142736,307064,5600512,8159224,44,0,78740,23772,27916,7196,298824,1530,76,-10.6392617020218,-0.0468549442378787,-0.698295982225982,1.15799884469424,2
153484,151436,26612,26468,160,9,5600404,36472,334684,142736,307160,5600404,8159224,24,0,78740,23772,27900,7192,298824,1530,77,-10.6386521545487,-0.0735067752984548,-0.695209946034127,1.15984513849482,2
153484,151436,26612,26468,160,55,5599416,36568,334684,142736,307256,5599416,8159224,48,0,78740,23772,28100,7196,296496,1530,78,-10.7039514295086,0.0279273771189992,1.52949865322529,0.203063125922718,4
153484,151436,26612,26468,160,39,5599916,36672,334684,142740,307360,5599916,8159224,20,0,78744,23772,27936,7196,298596,2040,79,-10.6201915268211,0.266543759372013,1.41211587818813,2.09271155503923,2
153484,151436,26612,26468,160,28,5600120,36768,334684,142740,307448,5600120,8159224,172,0,78744,23772,27928,7196,298484,1530,80,-10.6409615188929,0.0102739863445862,0.219854570297602,0.76091319264561,2
153484,151436,26612,26468,160,12,5599636,36864,334684,142736,307552,5599636,8159224,144,0,78740,23772,27848,7192,296156,1020,81,-10.7448296818889,-0.379591448754042,-1.20522245215008,-0.455028371363435,1
153484,151436,26612,26468,160,9,5554656,55856,342108,149612,327972,5554656,8159224,3944,0,79596,23976,45512,7436,299332,1020,82,-10.0337627928423,1.66265212302184,-1.60138081032165,-0.535762604324319,1
153484,151436,26612,26468,160,55,5397504,81168,435176,167336,430616,5397504,8159224,4764,0,81704,24376,81332,7424,302560,1530,83,-8.44096292116288,2.65591475219391,1.18652872340386,0.0181139831071206,4
153484,151436,26612,26468,160,45,5160008,83244,656460,230156,597448,5160008,8159224,221152,0,87804,25312,89796,7796,304888,2040,84,-6.60880767883599,11.2773038150791,0.0234604354120815,0.999745613783514,5
153484,151436,26612,26468,160,32,5084564,83540,693480,327380,575804,5084564,8159224,121820,0,126116,28324,90284,7984,343200,2040,85,-3.59155624338273,19.4822844146186,-1.0408623031201,0.55672926960886,18
153484,151436,26612,26468,160,20,5044360,83684,732680,365572,576940,5044360,8159224,115360,0,126116,28324,91172,7984,347336,2040,86,-3.1389481630867,19.4661005119092,-1.61134653084737,0.805623162912822,18
153484,151436,26612,26472,160,14,5008324,83852,767660,380596,597076,5008324,8159224,108968,0,126120,28324,92116,7984,344944,2040,87,-2.9953141359825,19.2098681330389,-1.8756704087945,0.956543277273376,18
170340,170340,28344,28344,196,161,4956280,84000,814496,451508,575060,4956280,8159224,117924,0,127992,28324,93792,8016,361764,2040,88,0.628285580608257,20.5052543611164,5.19856795848577,-2.27826807240413,20
170344,170340,31144,31140,200,64,4902916,84164,864428,454384,624920,4902916,8159224,142552,0,130788,28324,95252,8024,366024,2040,89,2.0129843440292,20.943554917579,0.416699954064372,-0.339518867152774,18
170344,170340,31144,31140,200,52,4655664,89480,1090572,541220,773332,4655664,8159224,324400,1760,134500,29956,106788,8028,365264,2040,90,3.76171763125725,26.6951395116028,-1.14442522966032,-0.677860256152982,19
170344,170340,31144,31140,200,43,4471580,94884,1259568,597900,891332,4471580,8159224,459632,0,134504,29956,116216,8024,365692,1530,91,5.0233024701341,29.0472602920233,-2.81153871117545,-2.33540175616122,19
170344,170340,31148,31140,200,26,4720436,97808,1064968,366496,880988,4720436,8159224,192588,0,84604,24312,109564,7576,315392,1530,92,-0.0932248063838372,7.01084870616123,-1.09497057462654,0.0924776002751386,5
170344,170340,31208,31140,200,13,4709868,97944,1075684,376648,882056,4709868,8159224,119972,0,85176,24272,109568,7704,317992,1530,93,0.0962784004398642,6.4550585642787,-1.53498829655825,0.456551718435225,5
170344,170340,31916,31912,200,9,4699488,98052,1084804,386696,882460,4699488,8159224,107284,0,86152,24092,109392,7620,319664,1020,94,0.465829321473969,5.33559951157474,-2.2530064117644,-0.954582133043433,5
170344,170340,31920,31912,200,37,4689572,98160,1094124,395720,882812,4689572,8159224,77100,0,86132,24168,109424,7608,317620,1530,95,0.475391323459206,4.9755145417232,-0.114586361970679,0.0927985063003369,5
170344,170340,31920,31912,200,51,4673128,98276,1110480,406568,888336,4673128,8159224,57796,0,86164,23948,109840,7320,319164,1530,96,0.628218644782599,2.57062730368385,0.876752431608209,-0.0150693326414277,9
170344,170340,31920,31912,200,45,4667772,98440,1117028,407616,892048,4667772,8159224,43668,0,84208,23740,109340,7208,317168,1530,97,0.512909291093649,1.01125374410161,0.769053696504642,0.240222249510259,9
170344,170340,31920,31912,200,30,4668884,98536,1117028,407620,892152,4668884,8159224,35060,0,84208,23740,109240,7204,314764,1530,98,0.414344915320548,0.666500031920108,0.0874327021994299,0.584922026041367,10
170344,170340,31920,31912,200,25,4668808,98624,1117028,407620,892240,4668808,8159224,26764,0,84208,23740,109296,7208,316832,1530,99,0.48896059944213,0.588156743232148,-0.12853505835201,0.69799940683718,10
170344,170340,31948,31912,200,14,4669144,98728,1117028,407616,892344,4669144,8159224,18480,0,84204,23740,109156,7208,316736,1530,100,0.482297009445375,0.377681406004427,-0.626366189407509,0.947358496463981,6
170344,170340,31948,31912,200,9,4668936,98824,1117028,407620,892440,4668936,8159224,18464,0,84208,23740,109092,7208,316448,1530,101,0.470767241452144,0.348473179013155,-0.867303113452712,1.05336613604872,6
170344,170340,31948,31912,200,62,4668636,98928,1117028,407616,892536,4668636,8159224,14372,0,84204,23740,109108,7208,314192,1530,102,0.404944970954226,0.369254873856335,1.71520310630642,-0.0396853398708981,11
170344,170340,31948,31912,200,53,4668336,99024,1117028,407616,892632,4668336,8159224,10352,0,84204,23740,109172,7208,316248,1530,103,0.479287132311249,0.335524733420186,1.29179152066042,0.149684314015675,9
170344,170340,31948,31912,200,36,4668472,99120,1117028,407620,892736,4668472,8159224,6216,0,84208,23740,109088,7204,318304,1530,104,0.547995792431543,0.245285220768821,0.485362793343771,0.508698746565212,10
170344,170340,31948,31912,200,27,4668544,99224,1117028,407620,892832,4668544,8159224,1944,0,84208,23740,109120,7208,316128,1530,105,0.465507052903043,0.0693574792774001,0.0695203170744101,0.713736650541124,10
170344,170340,31948,31912,200,12,4668532,99320,1117028,407624,892932,4668532,8159224,32,0,84208,23740,109188,7204,316032,1530,106,0.458335522914616,-0.0527279913919045,-0.64437943974445,1.03460365627659,6
170344,170340,31948,31912,200,9,4668440,99416,1117028,407624,893028,4668440,8159224,32,0,84208,23740,109080,7204,316072,1530,107,0.458552503175923,-0.0621645432485423,-0.789437171574982,1.09736547460539,6
170344,170340,31948,31912,200,9,4668456,99520,1117028,407624,893132,4668456,8159224,32,0,84208,23740,109016,7204,316072,1530,108,0.458653904908843,-0.0623795518700661,-0.789453782408078,1.09740335618368,6
