'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed',Colonna 25,Principale1,Principale2,Principale3,Principale4,Cluster
153484,151436,26612,26468,160,64,5600936,34992,334676,142712,305688,5600936,8159224,52,0,78732,23772,27928,7196,298544,1530,62,-10.6455199201025,0.279930775606871,1.93971878123355,0.0904733925689021,3
153484,151436,26612,26468,160,47,5601204,35088,334676,142716,305784,5601204,8159224,20,0,78736,23772,27844,7196,300372,1530,63,-10.5842018017946,0.281843431178736,1.09609298188489,0.39727476970064,3
153484,151436,26612,26468,160,30,5601960,35192,334676,142716,305880,5601960,8159224,44,0,78736,23772,27808,7196,298140,1530,64,-10.6727424556093,0.104325060821871,0.269104358401502,0.725955914554,2
153484,151436,26612,26468,160,15,5601720,35288,334676,142712,305984,5601720,8159224,20,0,78732,23772,27828,7196,298140,1020,65,-10.6891235695797,-0.234585978419453,-1.04313397457946,-0.582683203686536,1
153484,151436,26612,26468,160,9,5601644,35384,334676,142712,306080,5601644,8159224,164,0,78732,23772,27892,7192,298028,1020,66,-10.6931440395125,-0.264418005308414,-1.33852959631397,-0.470684705239511,1
153484,151436,26612,26468,160,60,5600980,35488,334680,142712,306188,5600980,8159224,152,0,78732,23772,27924,7196,295980,1530,67,-10.7365061283622,0.148464041114906,1.75303520961022,0.178854187377575,3
153484,151436,26612,26468,160,50,5600944,35584,334680,142720,306280,5600944,8159224,56,0,78736,23772,27836,7196,298084,1530,68,-10.6622564739785,0.193582487404527,1.25286679851581,0.353983440178131,3
153484,151436,26612,26468,160,33,5601328,35680,334680,142720,306368,5601328,8159224,24,0,78736,23772,27948,7192,297600,1530,69,-10.6837981740551,0.0922833977375674,0.41884784098254,0.673407382351747,2
153484,151436,26612,26468,160,21,5601788,35776,334680,142720,306472,5601788,8159224,52,0,78736,23772,27976,7192,294968,1530,70,-10.7840542240071,-0.0797928455852386,-0.1605969244286,0.911136190478183,2
153484,151436,26612,26468,160,9,5601264,35872,334680,142720,306568,5601264,8159224,12,0,78736,23772,27980,7196,292552,1020,71,-10.8878626223054,-0.512009285644851,-1.31522278926582,-0.440294440700807,1
153484,151436,26612,26468,160,59,5600368,35976,334680,142724,306660,5600368,8159224,48,0,78736,23772,27980,7196,296988,1020,72,-10.7062423507406,-0.0827432462343296,1.12541221602074,-1.39561907689035,3
153484,151436,26612,26468,160,46,5600356,36072,334680,142728,306764,5600356,8159224,144,0,78740,23772,27864,7196,299048,1020,73,-10.6349145729376,-0.0491107624024565,0.476930949559527,-1.16496268753848,3
153484,151436,26612,26468,160,31,5600228,36184,334680,142732,306864,5600228,8159224,176,0,78740,23772,27892,7196,296976,1020,74,-10.714063155748,-0.210312129886233,-0.252444215040049,-0.874377344613237,1
153484,151436,26612,26468,160,18,5600696,36280,334684,142732,306972,5600696,8159224,20,0,78740,23772,27860,7192,296768,1530,75,-10.7129647327312,-0.0155734710662188,-0.315636370935766,0.957606899243539,2
153484,151436,26612,26468,160,9,5600512,36376,334684,142736,307064,5600512,8159224,44,0,78740,23772,27916,7196,298824,1530,76,-10.6380401596325,0.0342022277781453,-0.76700317818561,1.11410181749808,2
153484,151436,26612,26468,160,9,5600404,36472,334684,142736,307160,5600404,8159224,24,0,78740,23772,27900,7192,298824,1530,77,-10.6371093404219,0.0334703030844423,-0.766924266685752,1.11421869392054,2
153484,151436,26612,26468,160,55,5599416,36568,334684,142736,307256,5599416,8159224,48,0,78740,23772,28100,7196,296496,1530,78,-10.7027871384432,0.143445388325524,1.50506333950399,0.270119755126731,3
153484,151436,26612,26468,160,39,5599916,36672,334684,142740,307360,5599916,8159224,20,0,78744,23772,27936,7196,298596,2040,79,-10.6193201151548,0.430207544081775,1.28408384404679,2.1450069121802,2
