r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time
6,0,0,743492,51596,493488,0,0,0,0,9353,33349,48,47,1,4,0,0 2025-10-22
5,0,0,744436,51604,493456,0,0,0,12,9147,33022,50,46,1,4,0,0 2025-10-22
6,0,0,745152,51604,493480,0,0,0,0,9451,33311,49,46,1,4,0,0 2025-10-22
6,0,0,745004,51604,493544,0,0,0,0,9269,33240,49,46,1,4,0,0 2025-10-22
7,0,0,746632,51604,493480,0,0,0,0,9418,33330,48,48,1,3,0,0 2025-10-22
7,0,0,743308,51604,493460,0,0,0,0,9415,33291,51,45,1,4,0,0 2025-10-22
7,0,0,745644,51604,493480,0,0,0,0,9362,33297,50,45,1,3,0,0 2025-10-22
11,0,0,744184,51604,493436,0,0,0,0,9280,33064,46,50,1,4,0,0 2025-10-22
7,0,0,746460,51604,493480,0,0,0,0,9372,32981,48,47,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
1,2,0,745500,51604,493480,0,0,0,0,9415,33238,49,47,1,3,0,0 2025-10-22
11,1,0,745596,51612,493484,0,0,0,6,9280,33238,51,45,1,3,0,0 2025-10-22
7,1,0,746128,51612,493400,0,0,0,0,9211,33147,50,46,1,3,0,0 2025-10-22
8,0,0,744416,51612,493408,0,0,0,0,9471,33151,49,47,1,4,0,0 2025-10-22
5,0,0,743872,51612,493468,0,0,0,0,9355,33256,49,47,1,4,0,0 2025-10-22
7,1,0,744132,51612,493484,0,0,0,0,9331,33197,50,46,1,4,0,0 2025-10-22
2,3,0,745596,51612,493416,0,0,0,0,9616,33343,47,49,1,4,0,0 2025-10-22
6,0,0,744596,51612,493464,0,0,0,0,9545,33394,48,47,1,4,0,0 2025-10-22
4,2,0,745324,51612,493484,0,0,0,6,9564,33278,48,48,1,4,0,0 2025-10-22
7,0,0,746192,51612,493484,0,0,0,0,9649,33567,49,46,1,4,0,0 2025-10-22
7,0,0,744804,51612,493452,0,0,0,0,9510,33194,48,47,1,4,0,0 2025-10-22
7,0,0,745824,51612,493484,0,0,0,0,9520,33304,48,48,1,3,0,0 2025-10-22
4,3,0,743352,51612,493484,0,0,0,0,9498,33319,45,50,1,4,0,0 2025-10-22
8,0,0,744400,51612,493468,0,0,0,0,9495,33273,50,46,1,4,0,0 2025-10-22
4,3,0,746452,51612,493448,0,0,0,0,9514,33200,48,47,1,4,0,0 2025-10-22
4,3,0,745168,51612,493400,0,0,0,0,9477,33356,48,47,1,4,0,0 2025-10-22
5,0,0,743920,51612,493524,0,0,0,0,9628,33401,45,50,1,3,0,0 2025-10-22
5,2,0,745552,51612,493492,0,0,0,0,9548,33196,50,45,1,3,0,0 2025-10-22
7,0,0,744048,51612,493448,0,0,0,0,9439,33302,45,50,1,4,0,0 2025-10-22
5,0,0,745240,51612,493400,0,0,0,0,9415,33188,48,47,1,4,0,0 2025-10-22
9,0,0,745984,51612,493520,0,0,0,0,9439,33326,49,46,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
5,0,0,744540,51612,493484,0,0,0,0,9473,33234,51,45,1,3,0,0 2025-10-22
5,0,0,745464,51612,493484,0,0,0,0,9454,33295,48,47,1,3,0,0 2025-10-22
4,2,0,744324,51612,493484,0,0,0,0,9426,33421,50,46,1,4,0,0 2025-10-22
5,0,0,744608,51612,493516,0,0,0,0,9506,33348,49,47,1,4,0,0 2025-10-22
7,0,0,746288,51612,493484,0,0,0,0,9414,33531,49,46,1,4,0,0 2025-10-22
5,1,0,743616,51612,493492,0,0,0,0,9366,33439,48,48,1,4,0,0 2025-10-22
8,0,0,741348,51612,493484,0,0,0,0,9342,33243,49,46,1,3,0,0 2025-10-22
4,1,0,745632,51612,493484,0,0,0,0,9353,33292,47,49,1,4,0,0 2025-10-22
6,0,0,744168,51612,493484,0,0,0,0,9515,33389,49,46,1,4,0,0 2025-10-22
7,1,0,743916,51612,493416,0,0,0,0,9709,33575,49,47,1,3,0,0 2025-10-22
3,1,0,745748,51612,493484,0,0,0,0,9249,32772,47,49,1,3,0,0 2025-10-22
4,2,0,744520,51620,493468,0,0,0,6,9532,33612,49,47,1,4,0,0 2025-10-22
4,2,0,740720,51620,493484,0,0,0,0,9494,33218,49,46,1,3,0,0 2025-10-22
9,0,0,746156,51620,493504,0,0,0,0,9415,33220,45,50,1,4,0,0 2025-10-22
5,0,0,745164,51620,493492,0,0,0,0,9392,33260,52,44,1,4,0,0 2025-10-22
4,1,0,740892,51620,493488,0,0,0,0,9436,33263,49,47,1,4,0,0 2025-10-22
7,0,0,743016,51620,493416,0,0,0,0,9430,33225,48,48,1,4,0,0 2025-10-22
6,0,0,744704,51620,493532,0,0,0,0,9441,33150,47,48,1,4,0,0 2025-10-22
7,0,0,743876,51620,493484,0,0,0,0,9439,32970,47,49,1,3,0,0 2025-10-22
6,0,0,746056,51620,493504,0,0,0,0,9487,33175,50,46,1,3,0,0 2025-10-22
6,0,0,745300,51620,493484,0,0,0,0,9347,33146,51,44,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
8,0,0,744692,51620,493408,0,0,0,0,9368,33169,48,48,1,3,0,0 2025-10-22
7,0,0,744528,51620,493484,0,0,0,2,9314,33082,48,47,1,4,0,0 2025-10-22
6,1,0,743448,51628,493516,0,0,0,6,9514,33242,48,47,1,4,0,0 2025-10-22
7,0,0,745192,51628,493484,0,0,0,0,9377,33063,48,47,1,4,0,0 2025-10-22
7,0,0,742672,51628,493424,0,0,0,0,9372,33251,47,48,1,4,0,0 2025-10-22
3,3,0,745492,51628,493484,0,0,0,2,9426,33258,49,47,1,4,0,0 2025-10-22
6,1,0,745148,51628,493480,0,0,0,0,9398,33255,46,49,1,4,0,0 2025-10-22
5,0,0,745408,51628,493484,0,0,0,0,9344,33345,47,49,1,3,0,0 2025-10-22
10,0,0,745420,51628,493456,0,0,0,0,9394,33311,47,49,1,4,0,0 2025-10-22
5,1,0,744892,51628,493484,0,0,0,0,9498,33434,48,48,1,4,0,0 2025-10-22
3,3,0,742280,51628,493432,0,0,0,0,9375,32534,50,46,1,4,0,0 2025-10-22
1,3,0,743344,51628,493488,0,0,0,0,9383,32735,51,45,1,4,0,0 2025-10-22
10,0,0,745128,51628,493488,0,0,0,0,9525,33347,47,48,1,4,0,0 2025-10-22
5,2,0,743524,51628,493488,0,0,0,0,9415,33455,49,47,1,3,0,0 2025-10-22
6,0,0,743028,51628,493472,0,0,0,0,9389,33300,47,48,1,4,0,0 2025-10-22
3,1,0,742524,51628,493488,0,0,0,0,9474,33305,48,48,1,4,0,0 2025-10-22
6,0,0,746068,51628,493472,0,0,0,0,9569,33532,47,48,1,4,0,0 2025-10-22
5,0,0,745784,51628,493488,0,0,0,0,9538,33283,47,48,1,4,0,0 2025-10-22
10,1,0,743548,51628,493488,0,0,0,0,9330,33138,50,46,1,4,0,0 2025-10-22
8,0,0,746832,51628,493456,0,0,0,0,9252,33234,48,47,1,4,0,0 2025-10-22
8,0,0,745796,51636,493512,0,0,0,6,9476,33126,47,48,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
9,0,0,745360,51636,493428,0,0,0,0,9329,33128,49,46,1,4,0,0 2025-10-22
4,1,0,743780,51636,493436,0,0,0,0,9295,33283,49,47,1,3,0,0 2025-10-22
7,0,0,744200,51636,493456,0,0,0,0,9460,33293,51,45,1,3,0,0 2025-10-22
7,0,0,746272,51636,493476,0,0,0,0,9310,32535,47,48,1,4,0,0 2025-10-22
10,0,0,744348,51636,493480,0,0,0,0,9288,32738,47,48,1,4,0,0 2025-10-22
6,0,0,746160,51636,493480,0,0,0,0,9487,33297,49,47,1,4,0,0 2025-10-22
6,0,0,744864,51636,493480,0,0,0,0,9396,33354,48,47,1,3,0,0 2025-10-22
5,0,0,744676,51636,493428,0,0,0,0,9365,33542,46,49,1,3,0,0 2025-10-22
6,0,0,745988,51636,493468,0,0,0,0,9381,33147,49,47,1,3,0,0 2025-10-22
6,0,0,745056,51636,493428,0,0,0,0,9555,33463,49,46,1,4,0,0 2025-10-22
7,0,0,747380,51636,493396,0,0,0,0,9549,33397,49,47,1,4,0,0 2025-10-22
8,0,0,745684,51636,493412,0,0,0,0,9557,33160,46,50,1,4,0,0 2025-10-22
6,0,0,746492,51636,493396,0,0,0,0,9624,33460,50,46,1,3,0,0 2025-10-22
6,0,0,748484,51636,493484,0,0,0,0,9404,33049,49,46,1,4,0,0 2025-10-22
4,0,0,746240,51636,493480,0,0,0,2,9568,33352,49,46,1,3,0,0 2025-10-22
4,3,0,747020,51636,493432,0,0,0,0,9404,33345,51,44,1,4,0,0 2025-10-22
7,1,0,747988,51636,493464,0,0,0,0,9487,33386,45,51,1,4,0,0 2025-10-22
6,0,0,745972,51636,493512,0,0,0,0,9569,33333,52,43,1,3,0,0 2025-10-22
6,0,0,745812,51636,493496,0,0,0,0,9483,33360,49,47,1,4,0,0 2025-10-22
8,0,0,746116,51644,493472,0,0,0,16,9449,33225,49,46,1,4,0,0 2025-10-22
8,0,0,746544,51644,493480,0,0,0,0,9295,32728,48,47,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
5,2,0,744580,51644,493496,0,0,0,0,9322,33044,48,47,1,4,0,0 2025-10-22
5,0,0,745168,51652,493472,0,0,0,80,9458,33170,47,48,1,4,0,0 2025-10-22
6,0,0,745008,51652,493516,0,0,0,0,9426,33103,47,48,1,4,0,0 2025-10-22
5,0,0,745224,51652,493480,0,0,0,0,9353,32990,50,46,1,3,0,0 2025-10-22
6,2,0,745024,51652,493464,0,0,0,0,9359,33041,50,45,1,4,0,0 2025-10-22
5,1,0,745580,51652,493396,0,0,0,0,9486,33401,47,48,1,3,0,0 2025-10-22
9,0,0,745660,51652,493484,0,0,0,0,9429,33231,51,45,1,3,0,0 2025-10-22
3,0,0,747968,51652,493480,0,0,0,0,9458,32948,50,45,1,3,0,0 2025-10-22
10,0,0,746136,51660,493492,0,0,0,6,9535,33010,47,49,1,4,0,0 2025-10-22
7,0,0,747024,51660,493480,0,0,0,0,9312,33280,51,45,1,3,0,0 2025-10-22
3,3,0,745784,51660,493480,0,0,0,0,9274,33185,47,48,1,4,0,0 2025-10-22
8,0,0,748376,51660,493480,0,0,0,0,9556,33352,48,47,1,4,0,0 2025-10-22
8,0,0,746588,51660,493496,0,0,0,0,9411,33027,50,45,1,4,0,0 2025-10-22
9,0,0,747632,51660,493464,0,0,0,14,9504,33384,47,49,1,3,0,0 2025-10-22
8,0,0,745776,51660,493448,0,0,0,0,9510,33346,45,50,1,4,0,0 2025-10-22
7,0,0,746784,51660,493480,0,0,0,0,9517,33312,45,51,1,4,0,0 2025-10-22
2,2,0,747288,51660,493500,0,0,0,0,9531,33348,50,45,1,3,0,0 2025-10-22
6,2,0,747388,51660,493480,0,0,0,0,9515,33401,48,48,1,3,0,0 2025-10-22
8,0,0,746748,51660,493444,0,0,0,0,9434,33200,45,51,1,3,0,0 2025-10-22
6,0,0,747072,51660,493480,0,0,0,0,9452,33553,46,50,1,3,0,0 2025-10-22
7,0,0,743176,51660,493480,0,0,0,0,9608,33408,52,44,1,3,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
9,0,0,743604,51660,493396,0,0,0,0,9625,33516,46,50,1,3,0,0 2025-10-22
10,1,0,744164,51660,493516,0,0,0,0,9472,33142,49,47,1,3,0,0 2025-10-22
5,0,0,743672,51660,493484,0,0,0,0,9232,33117,50,46,1,4,0,0 2025-10-22
8,0,0,745680,51660,493452,0,0,0,0,9372,33154,45,50,1,4,0,0 2025-10-22
8,0,0,744792,51660,493484,0,0,0,0,9512,33234,46,50,1,3,0,0 2025-10-22
5,1,0,745800,51660,493484,0,0,0,0,9165,32312,47,48,1,4,0,0 2025-10-22
9,0,0,743520,51660,493484,0,0,0,0,9418,33261,49,47,1,4,0,0 2025-10-22
10,1,0,746660,51660,493488,0,0,0,0,9393,33093,45,50,1,4,0,0 2025-10-22
7,0,0,742156,51660,493484,0,0,0,0,9195,33245,47,49,1,4,0,0 2025-10-22
6,0,0,749488,51660,493468,0,0,0,0,9436,33336,47,48,1,3,0,0 2025-10-22
8,0,0,745792,51660,493468,0,0,0,0,9528,33371,46,50,1,4,0,0 2025-10-22
8,0,0,748164,51660,493480,0,0,0,0,9437,33299,47,49,1,4,0,0 2025-10-22
5,1,0,747556,51660,493484,0,0,0,0,9436,33393,48,48,1,3,0,0 2025-10-22
14,0,0,744792,51660,493532,0,0,0,0,9512,33048,48,47,1,4,0,0 2025-10-22
6,0,0,746648,51660,493484,0,0,0,0,9377,33282,47,49,1,3,0,0 2025-10-22
5,1,0,746636,51660,493516,0,0,0,0,9512,33267,48,48,1,3,0,0 2025-10-22
4,2,0,745676,51660,493484,0,0,0,0,9457,33309,50,46,1,4,0,0 2025-10-22
6,2,0,745456,51668,493424,0,0,0,6,9231,33193,48,48,1,3,0,0 2025-10-22
7,0,0,745060,51668,493484,0,0,0,0,9444,33269,48,47,1,3,0,0 2025-10-22
5,0,0,744812,51668,493500,0,0,0,0,9327,33122,50,46,1,3,0,0 2025-10-22
7,1,0,745804,51668,493484,0,0,0,0,9331,33125,51,45,1,4,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
7,0,0,746504,51668,493432,0,0,0,0,9494,33330,49,47,1,4,0,0 2025-10-22
6,1,0,746336,51668,493484,0,0,0,0,9557,33336,48,48,1,4,0,0 2025-10-22
8,0,0,746348,51668,493460,0,0,0,0,9450,33293,50,46,1,4,0,0 2025-10-22
5,0,0,747860,51668,493400,0,0,0,0,9638,33361,48,47,1,4,0,0 2025-10-22
6,0,0,747516,51668,493536,0,0,0,0,9433,33343,49,47,1,3,0,0 2025-10-22
8,0,0,746404,51668,493400,0,0,0,0,9402,33320,47,48,1,4,0,0 2025-10-22
9,1,0,746656,51668,493516,0,0,0,0,9339,33121,46,49,1,4,0,0 2025-10-22
5,0,0,743712,51668,493484,0,0,0,0,9525,33410,49,46,1,4,0,0 2025-10-22
6,0,0,744864,51668,493448,0,0,0,0,9356,33429,50,45,1,4,0,0 2025-10-22
6,0,0,745388,51668,493484,0,0,0,0,9599,33403,49,47,1,3,0,0 2025-10-22
7,0,0,747284,51668,493480,0,0,0,0,9503,33237,49,46,1,4,0,0 2025-10-22
8,0,0,748580,51668,493492,0,0,0,2,9455,33171,46,49,1,3,0,0 2025-10-22
3,0,0,747632,51668,493500,0,0,0,0,9613,33144,49,47,1,4,0,0 2025-10-22
5,0,0,746748,51668,493484,0,0,0,0,9416,33076,49,46,1,4,0,0 2025-10-22
9,0,0,747000,51668,493416,0,0,0,0,9260,32010,48,46,1,4,0,0 2025-10-22
4,2,0,749144,51668,493484,0,0,0,0,8986,30688,49,44,2,5,0,0 2025-10-22
10,0,0,748996,51668,493400,0,0,0,0,8981,31041,47,45,2,5,0,0 2025-10-22
7,2,0,748596,51676,493392,0,0,0,6,9202,31735,47,46,3,5,0,0 2025-10-22
6,2,0,748108,51676,493468,0,0,0,0,8616,28840,43,49,3,5,0,0 2025-10-22
5,3,0,747036,51676,493484,0,0,0,0,9212,30993,47,44,3,5,0,0 2025-10-22
7,0,0,748116,51676,493532,0,0,0,0,9066,30885,45,47,2,5,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
8,0,0,747888,51676,493484,0,0,0,0,9137,30989,46,46,3,5,0,0 2025-10-22
12,0,0,748412,51676,493524,0,0,0,0,9082,30795,44,48,3,5,0,0 2025-10-22
6,0,0,748420,51676,493484,0,0,0,0,9158,31424,47,46,3,5,0,0 2025-10-22
1,3,0,749548,51676,493520,0,0,0,0,9349,30964,46,45,3,5,0,0 2025-10-22
6,0,0,748168,51676,493484,0,0,0,0,9264,31036,45,47,3,5,0,0 2025-10-22
9,1,0,748864,51676,493500,0,0,0,0,9114,31372,51,41,3,5,0,0 2025-10-22
6,0,0,748972,51684,493516,0,0,0,6,9248,31116,42,50,3,5,0,0 2025-10-22
8,0,0,748364,51684,493468,0,0,0,0,8947,30861,47,46,2,5,0,0 2025-10-22
2,3,0,748800,51684,493484,0,0,0,0,9015,31348,49,44,2,5,0,0 2025-10-22
7,0,0,747256,51684,493480,0,0,0,2,9191,31328,46,46,3,5,0,0 2025-10-22
9,0,0,750256,51684,493488,0,0,0,0,9205,31244,46,46,3,5,0,0 2025-10-22
6,0,0,749340,51684,493472,0,0,0,4,9179,31251,48,45,3,5,0,0 2025-10-22
5,1,0,748576,51684,493404,0,0,0,0,9295,31589,49,43,3,5,0,0 2025-10-22
9,0,0,748220,51684,493508,0,0,0,0,9058,31283,45,47,3,5,0,0 2025-10-22
3,2,0,749472,51684,493488,0,0,0,0,9132,31418,47,45,2,5,0,0 2025-10-22
3,3,0,752636,51684,493456,0,0,0,0,8940,30501,47,46,2,5,0,0 2025-10-22
5,0,0,746116,51684,493488,0,0,0,0,9082,31547,47,46,2,4,0,0 2025-10-22
6,0,0,746884,51684,493548,0,0,0,0,8995,31173,47,45,3,5,0,0 2025-10-22
7,0,0,746568,51684,493488,0,0,0,0,8996,30199,46,46,3,5,0,0 2025-10-22
5,0,0,746120,51684,493476,0,0,0,0,8082,27465,44,49,2,5,0,0 2025-10-22
5,1,0,749588,51684,493488,0,0,0,0,7757,26839,43,50,3,5,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
12,0,0,744808,51684,493488,0,0,0,0,9081,31955,45,47,3,6,0,0 2025-10-22
3,0,0,746328,51684,493404,0,0,0,0,8964,31187,44,47,3,6,0,0 2025-10-22
8,0,0,748788,51684,493452,0,0,0,0,8598,29578,45,46,3,6,0,0 2025-10-22
8,0,0,749560,51684,493520,0,0,0,0,8683,29242,45,47,3,5,0,0 2025-10-22
6,0,0,748096,51684,493540,0,0,0,0,8651,29178,47,44,3,6,0,0 2025-10-22
4,3,0,749324,51684,493488,0,0,0,0,9140,31352,48,43,4,5,0,0 2025-10-22
7,0,0,748820,51684,493500,0,0,0,0,8910,30778,45,47,3,5,0,0 2025-10-22
6,0,0,749088,51684,493528,0,0,0,0,7187,23997,40,52,3,5,0,0 2025-10-22
12,3,0,746380,51684,493488,0,0,0,0,8736,29808,45,46,3,6,0,0 2025-10-22
7,0,0,749036,51684,493488,0,0,0,0,9112,31188,45,46,4,6,0,0 2025-10-22
5,0,0,749148,51684,493508,0,0,0,0,9123,31310,46,45,4,6,0,0 2025-10-22
8,0,0,750488,51684,493488,0,0,0,0,8639,28962,45,47,3,5,0,0 2025-10-22
8,0,0,745204,51684,493460,0,0,0,0,9059,30819,44,47,3,6,0,0 2025-10-22
6,0,0,748520,51684,493504,0,0,0,0,8860,30324,44,47,3,6,0,0 2025-10-22
6,0,0,749088,51684,493520,0,0,0,0,9051,31105,46,45,3,6,0,0 2025-10-22
6,0,0,748608,51692,493488,0,0,0,6,8805,30525,46,46,3,5,0,0 2025-10-22
5,0,0,743904,51692,493532,0,0,0,0,8454,29123,47,45,3,5,0,0 2025-10-22
6,0,0,745616,51692,493488,0,0,0,0,8995,31115,45,46,3,5,0,0 2025-10-22
7,0,0,747752,51692,493412,0,0,0,0,9170,31179,48,43,3,5,0,0 2025-10-22
6,0,0,746820,51692,493456,0,0,0,0,9112,31500,45,46,3,6,0,0 2025-10-22
9,1,0,745852,51692,493492,0,0,0,0,8966,30930,45,46,3,6,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
8,1,0,749632,51692,493472,0,0,0,0,9232,31656,48,43,3,6,0,0 2025-10-22
6,0,0,748372,51692,493464,0,0,0,0,8137,27786,46,45,3,5,0,0 2025-10-22
6,0,0,746372,51692,493488,0,0,0,0,8875,31537,48,44,3,6,0,0 2025-10-22
9,0,0,748196,51692,493488,0,0,0,0,6142,20478,45,47,3,5,0,0 2025-10-22
10,0,0,747388,51692,493504,0,0,0,2,8625,29900,47,45,3,5,0,0 2025-10-22
9,0,0,749376,51700,493456,0,0,0,6,8103,26736,47,44,4,6,0,0 2025-10-22
6,0,0,749124,51700,493488,0,0,0,0,6383,20540,43,49,3,6,0,0 2025-10-22
7,0,0,744412,51700,493460,0,0,0,0,8450,28931,45,46,3,5,0,0 2025-10-22
4,2,0,748772,51700,493496,0,0,0,0,8996,30705,48,44,3,5,0,0 2025-10-22
7,0,0,748888,51700,493520,0,0,0,2,9030,30837,45,46,3,6,0,0 2025-10-22
8,0,0,747392,51700,493488,0,0,0,0,8784,29775,43,48,3,6,0,0 2025-10-22
7,0,0,747120,51700,493456,0,0,0,0,8644,29410,46,46,3,5,0,0 2025-10-22
13,0,0,748676,51700,493488,0,0,0,0,8658,30143,42,50,3,5,0,0 2025-10-22
7,0,0,748928,51700,493516,0,0,0,0,8792,29734,44,48,3,5,0,0 2025-10-22
5,0,0,748684,51700,493488,0,0,0,0,8577,29261,48,43,3,5,0,0 2025-10-22
6,1,0,750296,51700,493540,0,0,0,0,8620,29485,41,51,3,5,0,0 2025-10-22
4,3,0,747908,51700,493468,0,0,0,0,7950,26425,46,46,3,6,0,0 2025-10-22
8,0,0,745388,51700,493488,0,0,0,0,7517,25611,44,47,3,6,0,0 2025-10-22
9,1,0,748932,51700,493488,0,0,0,0,9057,31496,47,44,3,5,0,0 2025-10-22
5,0,0,748948,51700,493472,0,0,0,0,9102,31551,49,42,3,6,0,0 2025-10-22
7,0,0,747328,51700,493504,0,0,0,0,9018,31299,46,46,3,5,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
10,0,0,749092,51700,493460,0,0,0,0,9174,31423,47,45,3,5,0,0 2025-10-22
8,1,0,745640,51716,493496,0,0,0,40,9243,31042,44,47,4,6,0,0 2025-10-22
7,0,0,744404,51716,493512,0,0,0,0,9210,31714,44,48,3,6,0,0 2025-10-22
10,0,0,747448,51724,493484,0,0,0,98,9136,32017,43,48,3,6,0,0 2025-10-22
13,0,0,746524,51724,493480,0,0,0,0,9183,31580,46,46,3,6,0,0 2025-10-22
5,2,0,746012,51724,493496,0,0,0,0,9133,31760,47,44,3,5,0,0 2025-10-22
7,0,0,742680,51732,493492,0,0,0,12,9035,31263,47,44,3,5,0,0 2025-10-22
4,0,0,741216,51732,493484,0,0,0,0,9166,31682,48,43,3,6,0,0 2025-10-22
7,0,0,740460,51732,493500,0,0,0,86,9195,31848,45,48,3,5,0,0 2025-10-22
10,0,0,737288,51740,493500,0,0,0,28,9038,31544,46,45,3,6,0,0 2025-10-22
10,0,0,741584,51740,493500,0,0,0,0,9178,31773,47,44,3,5,0,0 2025-10-22
5,0,0,744952,51740,493500,0,0,0,0,9129,31854,44,48,3,5,0,0 2025-10-22
7,0,0,744204,51740,493524,0,0,0,0,9070,31473,48,44,3,6,0,0 2025-10-22
8,1,0,740044,51740,493500,0,0,0,0,9088,31740,45,46,3,5,0,0 2025-10-22
6,0,0,740864,51740,493532,0,0,0,0,9068,31607,45,46,3,6,0,0 2025-10-22
8,1,0,743548,51740,493500,0,0,0,0,8780,29720,43,48,3,5,0,0 2025-10-22
6,0,0,745276,51740,493468,0,0,0,40,8882,30692,44,47,3,6,0,0 2025-10-22
9,0,0,740060,51740,493508,0,0,0,0,8742,30004,46,46,3,5,0,0 2025-10-22
8,0,0,738496,51740,493440,0,0,0,0,9094,31576,45,46,3,6,0,0 2025-10-22
5,0,0,741276,51740,493500,0,0,0,0,9048,31611,45,47,3,5,0,0 2025-10-22
6,0,0,738748,51740,493480,0,0,0,0,9173,31899,46,45,3,6,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
5,0,0,738244,51740,493508,0,0,0,0,9302,31587,49,43,3,5,0,0 2025-10-22
5,0,0,741424,51748,493468,0,0,0,12,9140,31561,46,45,3,6,0,0 2025-10-22
5,2,0,742172,51748,493508,0,0,0,0,9331,32088,47,44,3,6,0,0 2025-10-22
4,2,0,741764,51748,493448,0,0,0,0,9251,31875,46,45,3,6,0,0 2025-10-22
10,0,0,742600,51748,493452,0,0,0,0,9342,31851,45,46,4,6,0,0 2025-10-22
4,2,0,741812,51748,493500,0,0,0,0,9066,31592,46,45,3,6,0,0 2025-10-22
4,2,0,742096,51748,493500,0,0,0,0,8932,31944,48,44,3,6,0,0 2025-10-22
6,0,0,742112,51748,493516,0,0,0,0,9222,31924,45,46,3,6,0,0 2025-10-22
7,0,0,740560,51748,493416,0,0,0,0,9126,31730,48,44,3,6,0,0 2025-10-22
7,0,0,743268,51748,493480,0,0,0,0,9277,31858,47,45,3,5,0,0 2025-10-22
5,0,0,741504,51748,493516,0,0,0,0,9246,31696,44,47,4,5,0,0 2025-10-22
5,0,0,741612,51748,493476,0,0,0,0,9280,31668,47,45,3,5,0,0 2025-10-22
9,1,0,741864,51756,493500,0,0,0,6,9253,31945,45,45,4,6,0,0 2025-10-22
5,0,0,741820,51756,493472,0,0,0,0,9145,31561,50,42,3,6,0,0 2025-10-22
7,1,0,741668,51756,493500,0,0,0,0,9218,31684,45,47,3,6,0,0 2025-10-22
5,1,0,742320,51756,493500,0,0,0,0,9051,31589,48,44,3,6,0,0 2025-10-22
7,0,0,738200,51756,493500,0,0,0,6,9188,31968,47,44,3,6,0,0 2025-10-22
6,1,0,742048,51756,493484,0,0,0,0,9128,31641,46,45,3,6,0,0 2025-10-22
8,1,0,741296,51756,493500,0,0,0,0,9116,31467,47,45,3,6,0,0 2025-10-22
8,0,0,741800,51756,493484,0,0,0,0,9400,31866,44,47,3,6,0,0 2025-10-22
7,0,0,741520,51756,493500,0,0,0,0,9287,31854,45,46,3,5,0,0 2025-10-22
procs,-----------memory----------,---swap--,-----io----,-system--,-------cpu-------,-----timestamp-----,,,,,,,,,,, 
r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,gu CEST
7,0,0,742068,51756,493524,0,0,0,0,9270,31492,46,46,3,6,0,0 2025-10-22
