r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,503264,43964,1060924,0,0,743,284,0,1,99,0,"-0,222305016","-1,71656319","-0,240068861","-0,608142521","0,467726041","-0,614802461","-0,011177454","-0,738810861",1
0,0,502644,43972,1060928,0,96,690,324,0,1,99,0,"0,2787566225","-1,940635476","-0,052057987","1,0946743847","0,5766114027","-0,607160862","1,9530354013","-0,263181028",8
1,0,502796,43972,1060928,0,0,631,258,0,0,100,0,"-1,776469856","-1,618306998","0,8692786156","-0,989363156","-0,308744838","2,2928965805","0,2371822198","0,5912419308",10
0,0,502916,43972,1060932,0,0,815,299,0,1,99,0,"-0,143539287","-1,698610482","-0,27599892","-0,649382536","0,4820940123","-0,619825083","-0,013728619","-0,640977059",1
1,0,502080,43972,1060932,0,0,654,242,0,1,99,0,"-0,19261093","-1,672056659","0,6640251208","-1,634322962","0,6358608954","1,7219213523","0,787688683","-0,907234172",10
0,0,501876,43972,1060932,0,8,799,332,0,1,99,0,"0,0067529311","-1,655922069","-0,281458902","-0,505376813","0,4726254494","-0,600860422","0,1216780561","-0,578302399",1
0,0,502000,43980,1060936,0,24,937,304,0,1,99,0,"0,0582123808","-1,69889209","-0,254663034","-0,321762827","0,5747246561","-0,65628191","0,4998106898","-0,348100544",1
0,0,503544,43980,1060940,0,0,646,289,0,1,99,0,"-0,257103928","-1,709626016","-0,219022931","-0,535899281","0,4190138034","-0,584039845","-0,030406235","-0,855445195",1
0,0,504024,43980,1060940,0,0,720,311,0,1,99,0,"-0,20251239","-1,77667949","-0,274776647","-0,561734938","0,4149767243","-0,579281484","-0,035784911","-0,77439389",1
0,0,502944,43980,1060944,0,0,692,265,0,0,100,0,"-1,842925509","-1,524983536","0,0306246821","0,0227006635","-0,437212098","-0,069924648","-0,541110781","0,7418813253",7
0,0,503592,43980,1060944,0,0,753,314,0,1,99,0,"-0,163037173","-1,747114871","-0,283325521","-0,58877715","0,4309474629","-0,587462073","-0,034247203","-0,724061947",1
0,0,503072,43988,1060940,0,36,640,294,0,0,100,0,"-1,651683225","-1,639546721","0,0895201212","0,6959485193","-0,42968047","-0,045181359","0,1797600194","0,8791686946",7
0,0,503544,43988,1060948,0,0,580,252,0,0,100,0,"-1,940613468","-1,539778198","0,074167437","0,0991966726","-0,476043759","-0,049312559","-0,546699142","0,5927358749",7
0,0,504016,43988,1060952,0,0,779,293,0,1,99,0,"-0,218596869","-1,76038026","-0,270038629","-0,604108354","0,4533268444","-0,604917982","-0,012670575","-0,712444794",1
0,0,503628,43988,1060956,0,0,660,274,0,0,100,0,"-1,865019892","-1,57391224","0,0214246716","0,0621981865","-0,471380921","-0,048858617","-0,552146115","0,6909768735",7
1,0,501380,43988,1060956,0,0,908,344,0,1,99,0,"0,1681433662","-1,704506659","0,4694513614","-1,750195389","0,6295562689","1,7445912495","0,740875575","-0,558052723",10
0,0,501824,43996,1060952,0,16,795,288,0,1,99,0,"-0,052548411","-1,609797999","-0,206053443","-0,378946109","0,5256753587","-0,632982108","0,3224031135","-0,554740663",1
0,0,503916,43996,1060960,0,0,675,288,0,1,99,0,"-0,262371617","-1,723386731","-0,230296318","-0,542053031","0,4206460717","-0,585069861","-0,025268919","-0,83133312",1
2,0,500888,43996,1060964,0,0,856,295,0,1,99,0,"0,1634947976","-1,717907343","1,3624206428","-2,789198609","0,8069164666","4,0729124479","1,5527961842","-0,704238124",11
0,0,504272,43996,1060964,0,0,842,301,0,1,99,0,"-0,187212447","-1,786160566","-0,301906997","-0,631572899","0,4616990203","-0,608854118","-0,009422719","-0,643122389",1
0,0,504388,43996,1060968,0,0,728,315,0,1,99,0,"-0,203900837","-1,789912858","-0,285678154","-0,552700437","0,4038997966","-0,571744258","-0,037950374","-0,772397644",1
0,0,503752,43996,1060968,0,0,685,273,0,1,99,0,"-0,284440406","-1,699242664","-0,212787188","-0,558353573","0,4425608089","-0,60034656","-0,011962761","-0,821038163",1
1,0,502616,44004,1060976,0,16,588,257,0,0,100,0,"-1,712356365","-1,59826752","0,9232887375","-0,679969319","-0,30095317","2,3014454043","0,5633880083","0,631546566",10
1,0,504564,44004,1060976,0,0,769,287,0,1,99,0,"-0,157908445","-1,888036279","0,5446564248","-1,626088455","0,5820321409","1,7577934158","0,7727735988","-0,820839561",10
0,0,504288,44004,1060980,0,0,743,265,0,1,99,0,"-0,304000881","-1,735797275","-0,226746624","-0,58498875","0,4611333069","-0,613695241","0,0042144699","-0,770595693",1
0,0,503956,44004,1060980,0,0,696,290,0,1,99,0,"-0,249907273","-1,720050488","-0,239211527","-0,550622708","0,4235932759","-0,586100039","-0,0241089","-0,807026761",1
0,0,503508,44004,1060984,0,0,811,282,0,1,99,0,"-0,203627938","-1,692510442","-0,259098668","-0,633522716","0,480977955","-0,621177467","-0,001132241","-0,665770086",1
1,0,503348,44012,1060988,0,124,682,278,0,1,99,0,"0,3653150061","-2,097041218","0,8731839294","0,5474466332","0,7864705215","1,7201665501","3,3554642077","-0,239515791",10
0,0,503552,44012,1060988,0,0,687,258,0,1,99,0,"-0,304395759","-1,65086414","-0,191489613","-0,565487645","0,4584542311","-0,610870404","-0,000988316","-0,818458906",1
0,0,503144,44020,1060992,0,32,709,300,0,1,99,0,"-0,047575156","-1,729128605","-0,173688219","-0,010851981","0,4813885067","-0,594851391","0,6356826999","-0,598240298",1
2,0,478924,44056,1062680,1384,52,1317,635,2,2,95,1,"17,382278603","-6,278007178","27,339266431","-1,296934371","-1,442844756","-2,761583638","-4,725998903","1,5811344237",12
0,0,479072,44056,1062704,0,0,672,328,0,0,99,0,"0,3347512658","0,4890372845","0,135264059","-0,384281023","-0,05778012","-0,212149041","-0,613509878","0,8558467795",7
0,0,479104,44056,1062704,0,68,537,262,0,0,100,0,"-0,455661466","0,5365356684","0,532333602","0,8780636972","-0,005647125","-0,218341428","0,7936765167","1,5495928474",8
0,0,501880,44056,1062708,0,0,766,302,0,1,99,0,"-0,055787194","-1,367479446","-0,242896746","-0,594721686","0,4519811804","-0,587804264","-0,033375059","-0,655027598",1
0,0,501784,44056,1062708,0,0,609,254,0,1,99,0,"-0,217904875","-1,301418381","-0,134219805","-0,522929525","0,4466477507","-0,591896858","-0,018610818","-0,851272032",1
0,0,502684,44064,1062704,0,132,877,350,0,1,99,0,"0,6078219094","-1,839279078","-0,052485775","1,66107745","0,6488786701","-0,611354291","2,7055105774","0,1655345547",8
0,0,503056,44064,1062704,0,4,562,234,0,0,100,0,"-1,899417595","-1,265319035","0,1254577786","0,2019185379","-0,473515496","-0,039613184","-0,45904266","0,6132531426",7
