procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 506384  44072 1055256    0    0     0     0  858  327  0  1 99  0  0  0
 0  0      0 506900  44080 1055256    0    0     0    32  851  292  0  1 99  0  0  0
 0  0      0 506176  44080 1055260    0    0     0     0  819  284  0  1 98  0  0  0
 0  0      0 506284  44080 1055260    0    0     0     0 1096  345  0  2 97  0  0  0
 0  0      0 506068  44080 1055264    0    0     0     0  819  304  0  1 99  0  0  0
 0  0      0 506616  44080 1055264    0    0     0     0  923  315  0  1 99  0  0  0
 0  0      0 506124  44088 1055268    0    0     0    16  929  337  0  1 99  0  0  0
 0  0      0 506120  44088 1055268    0    0     0    24 1072  342  0  2 98  0  0  0
 0  0      0 505744  44088 1055272    0    0     0    68 1002  325  0  2 98  0  0  0
 0  0      0 506508  44088 1055272    0    0     0     0  858  291  0  1 99  0  0  0
 0  0      0 505704  44088 1055276    0    0     0     0  965  335  0  1 99  0  0  0
 0  0      0 505680  44096 1055280    0    0     0    24 1051  319  0  2 98  0  0  0
 0  0      0 505980  44096 1055280    0    0     0     0 1057  359  0  1 98  0  0  0
 0  0      0 505532  44096 1055284    0    0     0     8  725  266  0  1 99  0  0  0
 0  0      0 505908  44096 1055284    0    0     0     0 1033  350  0  1 98  0  0  0
 0  0      0 504772  44096 1055284    0    0     0     0  952  329  0  1 99  0  0  0
 0  0      0 505444  44096 1055292    0    0     0     0  794  302  0  1 99  0  0  0
 1  0      0 504132  44104 1055296    0    0     0    24 1202  357  0  2 98  0  0  0
 0  0      0 505864  44104 1055296    0    0     0     0  920  299  0  1 99  0  0  0
 1  0      0 501772  44104 1055300    0    0     0     0 1163  350  0  2 98  0  0  0
 0  0      0 505600  44104 1055300    0    0     0     0 1034  370  0  1 99  0  0  0
 0  0      0 506256  44104 1055304    0    0     0     0  994  316  0  1 98  0  0  0
 0  0      0 505288  44112 1055304    0    0     0    16  630  258  0  1 99  0  0  0
 0  0      0 506308  44112 1055308    0    0     0     0 1138  493  0  2 98  0  0  0
 0  0      0 505696  44112 1055308    0    0     0     0  937  320  0  1 99  0  0  0
 1  0      0 502140  44112 1055312    0    0     0     0 1338  379  0  2 97  0  0  0
 0  0      0 506328  44112 1055316    0    0     0     0  929  307  0  1 99  0  0  0
 0  0      0 506100  44120 1055316    0    0     0    16  830  300  0  1 99  0  0  0
 0  0      0 506192  44120 1055320    0    0     0     0  922  296  0  1 99  0  0  0
 0  0      0 505720  44120 1055320    0    0     0     0  911  286  0  1 99  0  0  0
 0  0      0 506236  44120 1055324    0    0     0     0  932  319  0  1 98  0  0  0
 0  0      0 504984  44120 1055328    0    0     0     0 1016  326  0  2 98  0  0  0
 0  0      0 505432  44128 1055332    0    0     0    16  819  320  0  1 99  0  0  0
 0  0      0 505744  44128 1055332    0    0     0     0  931  306  0  1 99  0  0  0
 0  0      0 504932  44128 1055336    0    0     0     0  756  290  1  1 99  0  0  0
 0  0      0 506068  44128 1055336    0    0     0     0  923  328  0  1 99  0  0  0
 0  0      0 505668  44128 1055340    0    0     0     0  890  295  0  1 99  0  0  0
