procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1037404  43228 1069328    0    0     0    28  788  353  0  0 100  0  0  0
 0  0      0 1037972  43228 1069328    0    0     0     0  795  255  0  1 99  0  0  0
 0  0      0 1038456  43228 1069332    0    0     0     0  654  257  0  0 100  0  0  0
 0  0      0 1037016  43228 1069336    0    0     0     0 3085  260  0  0 100  0  0  0
 0  0      0 1037604  43228 1069336    0    0     0     0  648  251  0  0 100  0  0  0
 0  0      0 1037268  43236 1069336    0    0     0    28  750  314  0  0 99  0  0  0
 0  0      0 1038192  43236 1069344    0    0     0     0  698  286  0  0 100  0  0  0
 0  0      0 1038192  43236 1069344    0    0     0     0  499  206  0  0 100  0  0  0
 0  0      0 1037964  43236 1069344    0    0     0     0  691  248  0  0 100  0  0  0
 0  0      0 1036844  43236 1069348    0    0     0     0  781  260  0  0 100  0  0  0
 0  0      0 1038468  43244 1069348    0    0     0    28  874  370  0  1 99  0  0  0
 0  0      0 1039304  43244 1069348    0    0     0    20  723  247  0  0 100  0  0  0
 0  0      0 1040300  43244 1069352    0    0     0     0  712  279  0  0 100  0  0  0
 0  0      0 1040300  43244 1069356    0    0     0     0  570  234  0  0 100  0  0  0
 0  0      0 1040244  43244 1069360    0    0     0     0 1022  305  0  1 99  0  0  0
 0  0      0 1039400  43252 1069352    0    0     0    96 7199  533  0  0 100  0  0  0
 0  0      0 1040176  43252 1069356    0    0     0     4 4891  416  0  0 100  0  0  0
 0  0      0 1038776  43252 1069364    0    0     0     0 4369  370  0  1 99  0  0  0
 0  0      0 1039252  43252 1069368    0    0     0     0 5333  388  0  0 100  0  0  0
 0  0      0 1039192  43252 1069368    0    0     0     0  870  309  0  1 99  0  0  0
 0  0      0 1039924  43260 1069360    0    0     0    40  873  371  0  0 100  0  0  0
 0  0      0 1038228  43260 1069376    0    0     0   124  744  287  0  0 99  0  0  0
 0  0      0 1038348  43260 1069376    0    0     0     0  534  245  0  0 100  0  0  0
 0  0      0 1038096  43260 1069380    0    0     0     8  621  247  0  0 100  0  0  0
 0  0      0 1037812  43260 1069380    0    0     0     0  970  629  0  0 100  0  0  0
 0  0      0 1038340  43268 1069384    0    0     0    36  832  321  0  0 100  0  0  0
 0  0      0 1037900  43268 1069388    0    0     0     0 3454  326  0  0 100  0  0  0
 0  0      0 1038980  43268 1069388    0    0     0     0 4245  272  0  0 100  0  0  0
 0  0      0 1039124  43268 1069392    0    0     0     0 3171  306  0  0 99  0  0  0
 0  0      0 1039984  43268 1069392    0    0     0     0  893  376  0  0 100  0  0  0
 0  0      0 1039380  43276 1069396    0    0     0    28  780  335  0  0 99  0  0  0
 0  0      0 1039832  43276 1069400    0    0     0     0  707  249  0  0 100  0  0  0
 0  0      0 1039452  43276 1069400    0    0     0     0  798  280  0  0 100  0  0  0
 0  0      0 1038960  43276 1069404    0    0     0     0  642  215  0  0 100  0  0  0
 0  0      0 1038548  43276 1069404    0    0     0     0 3273  287  0  0 100  0  0  0
