procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 505628  44180 1062964    0    0     0     0  597  278  0  0 100  0  0  0
 0  0      0 504076  44180 1062972    0    0     0     0 1044  459  0  1 98  0  0  0
 0  0      0 504604  44180 1062972    0    0     0     0  805  293  0  1 99  0  0  0
 0  0      0 504808  44180 1062976    0    0     0     0  727  284  0  1 99  0  0  0
 0  0      0 504048  44188 1062976    0    0     0   112  682  289  0  1 99  0  0  0
 0  0      0 506100  44188 1062980    0    0     0     0  686  269  0  1 99  0  0  0
 0  0      0 506444  44188 1062984    0    0     0     0  704  345  0  1 99  0  0  0
 0  0      0 506040  44188 1062984    0    0     0     0  638  271  0  1 99  0  0  0
 0  0      0 506172  44188 1062988    0    0     0     0  577  272  0  0 99  0  0  0
 0  0      0 505708  44196 1062980    0    0     0    16  610  241  0  1 99  0  0  0
 0  0      0 505036  44196 1062992    0    0     0     0  614  271  0  0 100  0  0  0
 0  0      0 504764  44196 1062992    0    0     0     0  771  319  0  1 99  0  0  0
 0  0      0 505948  44196 1062996    0    0     0     0  735  289  0  1 99  0  0  0
 3  0      0 506208  44196 1062996    0    0     0     0  665  246  0  1 99  0  0  0
 0  0      0 505588  44204 1063000    0    0     0    16  711  296  0  1 99  0  0  0
 0  0      0 505180  44204 1063000    0    0     0     0  584  240  0  0 100  0  0  0
 0  0      0 505900  44204 1063004    0    0     0     0 1007  365  0  1 99  0  0  0
 0  0      0 506392  44204 1063012    0    0     0     0  692  265  0  1 99  0  0  0
 0  0      0 506544  44204 1063012    0    0     0     0  760  294  0  1 99  0  0  0
 0  0      0 505832  44204 1063016    0    0     0     0  644  254  0  1 99  0  0  0
 0  0      0 505860  44212 1063016    0    0     0    88  773  331  0  1 99  1  0  0
 0  0      0 505448  44212 1063020    0    0     0     0  866  316  0  1 99  0  0  0
 0  0      0 505476  44212 1063020    0    0     0     0  721  277  0  1 99  0  0  0
 0  0      0 505868  44212 1063020    0    0     0     0  732  287  0  1 99  0  0  0
 0  0      0 505488  44212 1063024    0    0     0     4  613  275  0  0 100  0  0  0
 0  0      0 505576  44220 1063016    0    0     0    24  651  264  0  1 99  0  0  0
 0  0      0 505708  44220 1063028    0    0     0     0  814  347  0  0 100  0  0  0
 3  0      0 505424  44220 1063032    0    0     0     0  951  305  0  1 99  0  0  0
 0  0      0 505236  44220 1063036    0    0     0   268 1015  386  0  1 98  0  0  0
 0  0      0 506504  44220 1063040    0    0     0     0  766  278  0  1 99  0  0  0
 0  0      0 506236  44228 1063040    0    0     0    24  790  303  0  1 99  0  0  0
 1  0      0 504612  44228 1063044    0    0     0     0  692  290  0  0 100  0  0  0
 0  0      0 506080  44228 1063044    0    0     0     4  766  297  0  1 99  0  0  0
 0  0      0 503400  44228 1063048    0    0     0     0  912  308  0  1 99  0  0  0
 0  0      0 505800  44228 1063048    0    0     0     0  870  285  0  1 99  0  0  0
 0  0      0 505220  44236 1063052    0    0     0    16  620  270  0  0 99  0  0  0
