r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,time,Principale1,Principale2,Principale3,Cluster
4,2,0,743716,51500,493528,0,0,0,0,8793,30060,46,46,3,5,0,0 2025-10-22,"1,9078766194","-1,449899811","-0,799656927",6
7,0,0,740848,51500,493456,0,0,0,0,8928,30865,46,47,2,5,0,0 2025-10-22,"2,0284278533","-1,858951054","-0,325213127",5
9,1,0,743104,51500,493464,0,0,0,0,8849,30943,47,46,2,5,0,0 2025-10-22,"2,3501800355","-1,748620733","-0,589570477",5
8,0,0,741500,51508,493484,0,0,0,12,9122,31162,47,46,2,5,0,0 2025-10-22,"2,1330966075","-1,700407551","0,2749325638",5
6,0,0,744048,51508,493524,0,0,0,0,9054,31284,48,45,3,5,0,0 2025-10-22,"1,8626887129","-1,363486222","-0,321303411",5
1,2,0,743292,51508,493508,0,0,0,4,9165,32087,48,45,2,5,0,0 2025-10-22,"1,7410055913","-1,610800633","-0,705135027",5
6,0,0,744032,51508,493524,0,0,0,0,9093,31687,48,45,2,5,0,0 2025-10-22,"1,8844535775","-1,360852257","-0,321996398",5
6,0,0,744084,51508,493484,0,0,0,0,9198,31921,49,44,3,5,0,0 2025-10-22,"1,9204277287","-1,599302442","-0,409904791",5
6,0,0,743496,51508,493500,0,0,0,0,9228,31929,46,47,2,5,0,0 2025-10-22,"1,9261424491","-1,515990493","-0,353871719",5
7,0,0,743384,51508,493416,0,0,0,0,9334,31880,49,44,3,5,0,0 2025-10-22,"2,0872117094","-2,010142815","-0,509933707",5
8,0,0,742192,51508,493500,0,0,0,0,9376,32114,49,44,3,4,0,0 2025-10-22,"1,9608329905","-1,505965698","-0,266519935",5
8,0,0,743952,51508,493500,0,0,0,0,9231,31887,48,46,2,5,0,0 2025-10-22,"2,1347289856","-1,473625029","-0,334551935",5
6,0,0,744604,51508,493492,0,0,0,0,9133,32127,47,46,2,5,0,0 2025-10-22,"1,9188433585","-1,537472432","-0,413169543",5
6,0,0,743928,51508,493500,0,0,0,0,9038,32221,50,44,2,4,0,0 2025-10-22,"1,7475079096","-1,493619154","-0,369539388",5
4,1,0,743808,51508,493416,0,0,0,0,9007,32044,47,46,2,4,0,0 2025-10-22,"1,7479974288","-2,057086414","-0,812673",5
6,0,0,742980,51508,493500,0,0,0,0,9095,32347,48,46,2,5,0,0 2025-10-22,"1,945462248","-1,526614363","-0,334781563",5
8,0,0,743816,51508,493504,0,0,0,0,9272,32204,49,44,2,5,0,0 2025-10-22,"2,1261739783","-1,453072237","-0,321002509",5
7,0,0,743804,51508,493500,0,0,0,0,9273,32487,51,43,2,4,0,0 2025-10-22,"1,8735413648","-1,477925634","-0,347955387",5
8,0,0,741788,51508,493492,0,0,0,0,9216,32269,45,49,2,4,0,0 2025-10-22,"1,9882723006","-1,56266081","-0,26854118",5
9,0,0,743596,51508,493484,0,0,0,0,9251,32295,48,45,2,4,0,0 2025-10-22,"2,0619797842","-1,553370072","-0,335676665",5
9,0,0,742936,51508,493480,0,0,0,0,9183,32171,47,47,2,5,0,0 2025-10-22,"2,2603168417","-1,603971423","-0,319892809",5
6,0,0,740084,51508,493484,0,0,0,0,9308,32537,48,46,1,4,0,0 2025-10-22,"1,8329273241","-1,678665168","-0,258886811",5
5,3,0,743424,51508,493448,0,0,0,0,9230,32381,47,47,2,4,0,0 2025-10-22,"2,1817581444","-1,896215483","-1,178991854",6
7,0,0,743764,51508,493500,0,0,0,0,9206,32573,45,49,2,5,0,0 2025-10-22,"2,0543942622","-1,490499611","-0,347304986",5
3,3,0,742844,51508,493520,0,0,0,0,9337,32529,47,48,2,4,0,0 2025-10-22,"1,9656628294","-1,501660776","-1,042313193",6
7,0,0,743096,51508,493416,0,0,0,0,9487,32635,48,46,2,4,0,0 2025-10-22,"1,9673444055","-1,9983261","-0,501303349",5
7,1,0,742236,51508,493448,0,0,0,0,9276,32450,48,46,2,4,0,0 2025-10-22,"2,0828139339","-1,851718151","-0,631294293",5
2,2,0,743656,51508,493516,0,0,0,0,9090,32684,48,46,2,4,0,0 2025-10-22,"1,672021856","-1,503333812","-0,866193458",6
7,0,0,744784,51516,493468,0,0,0,6,9314,32694,48,47,1,4,0,0 2025-10-22,"1,9300518286","-1,655150118","-0,180304693",5
5,0,0,742928,51516,493424,0,0,0,0,9264,32877,49,45,2,4,0,0 2025-10-22,"1,7509744046","-1,966021305","-0,512837613",5
9,0,0,743296,51516,493500,0,0,0,2,9309,32868,53,42,1,4,0,0 2025-10-22,"2,1128296642","-1,447471478","-0,200362157",5
8,0,0,743916,51516,493492,0,0,0,0,9189,32890,49,46,1,3,0,0 2025-10-22,"1,8253228336","-1,475049839","-0,349518494",5
5,0,0,743056,51516,493432,0,0,0,0,9313,32595,48,46,2,4,0,0 2025-10-22,"1,7417561823","-1,915171424","-0,500450828",5
8,0,0,743572,51516,493524,0,0,0,0,9514,33087,47,47,2,4,0,0 2025-10-22,"1,9933803189","-1,29955996","-0,270455756",5
6,0,0,742416,51516,493492,0,0,0,0,9325,32814,48,47,2,4,0,0 2025-10-22,"1,824074194","-1,551501201","-0,330662521",5
6,1,0,743896,51516,493500,0,0,0,0,9246,33080,47,48,1,4,0,0 2025-10-22,"1,9695581386","-1,487806221","-0,603331738",5
6,0,0,743560,51516,493432,0,0,0,0,9327,33048,48,46,2,4,0,0 2025-10-22,"1,8483719503","-1,886210168","-0,502068889",5
5,0,0,743644,51516,493500,0,0,0,0,9260,32909,48,46,1,4,0,0 2025-10-22,"1,6966448412","-1,489379328","-0,378772819",5
4,1,0,743844,51516,493440,0,0,0,0,9320,33052,49,46,1,4,0,0 2025-10-22,"1,8231450722","-1,879114162","-0,766732909",5
9,0,0,744512,51516,493516,0,0,0,0,9406,33061,49,46,1,4,0,0 2025-10-22,"2,1044452605","-1,308627071","-0,305061863",5
7,1,0,742064,51516,493484,0,0,0,0,9295,32905,48,47,1,3,0,0 2025-10-22,"1,91428484","-1,603624329","-0,547565821",5
5,0,0,743852,51516,493500,0,0,0,0,9313,33094,46,49,1,4,0,0 2025-10-22,"1,7227749234","-1,480860851","-0,388109824",5
4,2,0,742488,51516,493496,0,0,0,0,9357,32734,47,48,1,4,0,0 2025-10-22,"1,9442174641","-1,597362673","-0,827810116",6
7,1,0,742740,51516,493456,0,0,0,0,9290,33061,48,46,1,4,0,0 2025-10-22,"2,0964072356","-1,768272269","-0,633633262",5
7,0,0,742676,51516,493500,0,0,0,0,9292,33128,48,47,1,4,0,0 2025-10-22,"1,9274099101","-1,48054175","-0,305650947",5
5,0,0,742688,51516,493416,0,0,0,0,9417,33084,46,49,1,4,0,0 2025-10-22,"1,8051045467","-2,01443112","-0,522978928",5
5,0,0,743100,51516,493488,0,0,0,0,9447,33308,47,48,1,4,0,0 2025-10-22,"1,7546186328","-1,569026905","-0,386014269",5
7,1,0,744644,51516,493516,0,0,0,0,9516,33116,49,47,1,4,0,0 2025-10-22,"2,0903867331","-1,352702191","-0,58143822",5
10,1,0,743088,51516,493524,0,0,0,0,9423,33147,50,46,1,4,0,0 2025-10-22,"2,3848426167","-1,299813378","-0,44834886",5
6,0,0,743052,51516,493492,0,0,0,0,9395,33304,50,45,1,4,0,0 2025-10-22,"1,8440080535","-1,532101006","-0,356616669",5
7,0,0,744084,51524,493480,0,0,0,16,9404,33083,48,47,1,4,0,0 2025-10-22,"1,9519062242","-1,631160718","0,3281034109",5
7,0,0,744420,51524,493508,0,0,0,0,9493,33493,45,50,1,4,0,0 2025-10-22,"1,9343630675","-1,36624213","-0,355840413",5
6,0,0,742160,51524,493500,0,0,0,0,9389,33248,48,47,1,4,0,0 2025-10-22,"1,8440798544","-1,486744381","-0,303827678",5
6,0,0,743048,51532,493488,0,0,0,78,9340,33159,50,46,1,4,0,0 2025-10-22,"1,9191215845","-1,932123804","3,1933477092",2
6,1,0,742232,51532,493504,0,0,0,0,9345,33217,49,47,1,3,0,0 2025-10-22,"1,8268730306","-1,45095287","-0,528583344",5
6,0,0,742304,51532,493504,0,0,0,0,9298,32612,44,51,1,4,0,0 2025-10-22,"1,8178911511","-1,443551661","-0,297665076",5
5,0,0,742760,51532,493488,0,0,0,10,9572,33258,48,47,1,4,0,0 2025-10-22,"1,7734904556","-1,590490366","0,0852511013",5
8,0,0,742952,51532,493528,0,0,0,0,9565,33392,49,46,1,4,0,0 2025-10-22,"2,0307822631","-1,247107808","-0,236964953",5
3,2,0,741524,51540,493472,0,0,0,6,9348,33222,50,45,1,4,0,0 2025-10-22,"1,8844728324","-1,752327902","-0,583488816",5
7,0,0,743736,51540,493488,0,0,0,0,9614,33401,44,51,1,3,0,0 2025-10-22,"1,7821870506","-1,45275843","-0,36883633",5
3,3,0,742980,51540,493532,0,0,0,0,9554,33321,47,49,1,3,0,0 2025-10-22,"1,8363555424","-1,328778339","-1,018764124",6
2,4,0,742340,51540,493496,0,0,0,2,9456,33268,48,48,1,3,0,0 2025-10-22,"1,9172479571","-1,609937895","-1,230352324",6
7,1,0,739324,51540,493504,0,0,0,0,9439,33194,48,48,1,4,0,0 2025-10-22,"2,1380972031","-1,498130606","-0,398489475",5
5,0,0,741920,51540,493504,0,0,0,0,9401,33064,44,51,1,4,0,0 2025-10-22,"1,7421684294","-1,445118074","-0,301586144",5
5,0,0,743012,51540,493456,0,0,0,0,9524,33165,50,46,1,3,0,0 2025-10-22,"1,6158277991","-1,692590984","-0,446080182",5
9,0,0,743444,51540,493512,0,0,0,0,9526,33356,47,49,1,3,0,0 2025-10-22,"1,9702550987","-1,285226179","-0,26921424",5
7,0,0,743012,51540,493504,0,0,0,0,9591,33621,49,47,1,3,0,0 2025-10-22,"1,7940787313","-1,371347685","-0,307853719",5
6,0,0,742324,51540,493512,0,0,0,0,9619,33572,49,47,1,3,0,0 2025-10-22,"1,6965979397","-1,354443898","-0,28318659",5
5,0,0,744344,51540,493524,0,0,0,0,9549,33420,48,47,1,4,0,0 2025-10-22,"1,7259244662","-1,261740004","-0,353255193",5
6,0,0,742832,51540,493504,0,0,0,0,9497,33218,47,48,1,3,0,0 2025-10-22,"1,662676407","-1,395274718","-0,317695584",5
3,2,0,743212,51540,493468,0,0,0,0,9430,33228,50,46,1,4,0,0 2025-10-22,"1,8931369469","-1,700003886","-0,931270325",5
6,0,0,741476,51540,493520,0,0,0,0,9589,33303,47,48,1,3,0,0 2025-10-22,"1,6721283136","-1,330540545","-0,232377453",5
4,2,0,741728,51540,493492,0,0,0,0,9530,33353,50,46,1,3,0,0 2025-10-22,"1,8170787546","-1,564342258","-0,80455775",6
4,2,0,740888,51540,493528,0,0,0,0,9378,33480,48,48,1,4,0,0 2025-10-22,"1,9685752862","-1,380380056","-0,69609656",5
8,0,0,739384,51540,493488,0,0,0,0,9382,33480,48,47,1,3,0,0 2025-10-22,"1,8965903778","-1,547415158","-0,182244504",5
5,2,0,743668,51540,493504,0,0,0,0,9349,33417,49,47,1,3,0,0 2025-10-22,"1,876427894","-1,431933693","-0,833777866",6
5,1,0,743920,51540,493448,0,0,0,0,9447,33101,49,47,1,3,0,0 2025-10-22,"1,7620194167","-1,741568648","-0,729985091",5
6,0,0,741736,51540,493472,0,0,0,0,9520,33484,47,48,1,3,0,0 2025-10-22,"1,7047467437","-1,613674249","-0,344521018",5
9,0,0,741920,51540,493460,0,0,0,0,9407,33302,52,44,1,3,0,0 2025-10-22,"2,0077805691","-1,637687357","-0,320668392",5
6,1,0,741340,51540,493512,0,0,0,0,9440,33435,49,46,1,4,0,0 2025-10-22,"2,0045367509","-1,41615764","-0,477120299",5
10,0,0,742568,51540,493552,0,0,0,0,9465,33577,47,48,1,3,0,0 2025-10-22,"2,0284135304","-1,052905346","-0,131267383",5
5,1,0,744048,51540,493512,0,0,0,0,9501,33350,49,47,1,4,0,0 2025-10-22,"1,9039759299","-1,361916369","-0,600315603",5
7,0,0,740716,51540,493436,0,0,0,0,9548,33360,48,47,1,3,0,0 2025-10-22,"1,8378789067","-1,841172148","-0,363349077",5
8,1,0,743244,51540,493520,0,0,0,0,9547,33287,53,43,1,4,0,0 2025-10-22,"2,2001425096","-1,289118933","-0,496541033",5
4,3,0,742800,51540,493488,0,0,0,0,9373,33285,46,49,1,3,0,0 2025-10-22,"1,9360654203","-1,588330235","-1,085197938",6
7,0,0,737984,51540,493504,0,0,0,0,9624,33347,47,49,1,3,0,0 2025-10-22,"1,8337814764","-1,49529619","-0,114993004",5
11,0,0,742772,51540,493524,0,0,0,0,9651,33477,45,51,1,3,0,0 2025-10-22,"2,1788588048","-1,198063625","-0,181608584",5
7,2,0,743520,51540,493504,0,0,0,0,9666,33386,50,45,1,4,0,0 2025-10-22,"2,2641510068","-1,415327522","-0,792765194",6
6,0,0,743296,51548,493464,0,0,0,6,9342,33355,51,45,1,3,0,0 2025-10-22,"1,698270042","-1,636962652","-0,14559187",5
4,0,0,742112,51548,493488,0,0,0,0,9322,33136,49,46,1,4,0,0 2025-10-22,"1,6454249425","-1,532780326","-0,359724903",5
6,0,0,743068,51548,493424,0,0,0,0,9490,33179,49,46,1,4,0,0 2025-10-22,"1,8985488465","-1,863549019","-0,496346055",5
2,4,0,743580,51548,493488,0,0,0,2,9453,33222,46,50,1,3,0,0 2025-10-22,"1,9119838905","-1,608689824","-1,293323557",6
6,0,0,740188,51548,493456,0,0,0,0,9481,33375,47,49,1,4,0,0 2025-10-22,"1,9213027777","-1,738586881","-0,318946365",5
7,0,0,741452,51548,493404,0,0,0,0,9455,33432,52,43,1,4,0,0 2025-10-22,"2,0271769073","-2,008482486","-0,458609424",5
8,0,0,742280,51548,493480,0,0,0,0,9521,33534,48,48,1,4,0,0 2025-10-22,"2,0892205008","-1,512228462","-0,311154097",5
9,0,0,744296,51548,493488,0,0,0,0,9340,33205,47,48,1,4,0,0 2025-10-22,"2,1237753204","-1,405671469","-0,350375665",5
6,0,0,741748,51548,493520,0,0,0,0,9393,33402,48,47,1,4,0,0 2025-10-22,"1,834530879","-1,317610825","-0,241278237",5
5,0,0,740856,51548,493488,0,0,0,0,9440,33278,48,47,1,4,0,0 2025-10-22,"1,7688973726","-1,546875901","-0,293938998",5
7,0,0,741320,51548,493472,0,0,0,0,9364,33527,46,50,1,4,0,0 2025-10-22,"1,9922034544","-1,600695579","-0,309238111",5
12,0,0,738060,51548,493488,0,0,0,0,9175,33387,46,49,1,3,0,0 2025-10-22,"2,2816963914","-1,505127029","-0,054113323",5
4,3,0,738852,51548,493440,0,0,0,0,9360,33115,48,47,1,4,0,0 2025-10-22,"2,1791953233","-1,966868914","-1,035172728",6
5,1,0,741224,51548,493488,0,0,0,0,9563,33372,45,51,1,3,0,0 2025-10-22,"1,7729863394","-1,544699315","-0,541350071",5
3,3,0,739508,51556,493472,0,0,0,8,9484,33335,50,45,1,4,0,0 2025-10-22,"2,0719633427","-1,793255499","-0,645728925",5
11,1,0,739344,51556,493504,0,0,0,0,9371,33421,47,49,1,4,0,0 2025-10-22,"2,5306659685","-1,400474219","-0,321715739",5
3,3,0,737076,51556,493468,0,0,0,2,9511,33491,50,46,1,3,0,0 2025-10-22,"1,9335766995","-1,831073153","-0,834786317",5
6,0,0,738932,51556,493492,0,0,0,0,9450,33363,50,46,1,3,0,0 2025-10-22,"1,718462141","-1,52246667","-0,191474057",5
1,5,0,740252,51556,493444,0,0,0,0,9461,33438,49,47,1,3,0,0 2025-10-22,"2,0323491201","-1,960851026","-1,600901516",6
7,0,0,739832,51556,493492,0,0,0,0,9472,33277,46,50,1,3,0,0 2025-10-22,"1,8115250112","-1,485919565","-0,207350344",5
9,0,0,744168,51556,493500,0,0,0,0,9577,33252,51,45,1,3,0,0 2025-10-22,"1,9714092151","-1,300821833","-0,319463368",5
4,1,0,744700,51556,493484,0,0,0,0,9515,33197,49,47,1,4,0,0 2025-10-22,"1,8173489131","-1,491092439","-0,700342513",6
7,0,0,745044,51556,493472,0,0,0,0,9557,33097,49,46,1,4,0,0 2025-10-22,"1,9471364697","-1,491280833","-0,449861425",5
3,2,0,745084,51556,493400,0,0,0,0,9545,33234,47,49,1,3,0,0 2025-10-22,"1,7588837027","-2,012930863","-1,144588382",6
5,0,0,745268,51556,493432,0,0,0,0,9621,33394,44,51,1,4,0,0 2025-10-22,"1,7945680449","-1,754232346","-0,582021132",5
8,0,0,747048,51556,493504,0,0,0,0,9459,33413,46,50,1,4,0,0 2025-10-22,"2,0229500987","-1,232671899","-0,44061421",5
7,0,0,743968,51556,493476,0,0,0,0,9571,33175,48,48,1,3,0,0 2025-10-22,"1,7937367376","-1,480076518","-0,40012405",5
5,1,0,745744,51556,493400,0,0,0,0,9355,33333,50,46,1,3,0,0 2025-10-22,"1,7787596379","-1,947767761","-0,898965438",5
5,1,0,748900,51556,493440,0,0,0,0,9596,33273,51,45,1,4,0,0 2025-10-22,"1,9215189078","-1,637362603","-0,936787237",5
10,0,0,750916,51556,493476,0,0,0,0,9580,33385,45,50,1,3,0,0 2025-10-22,"2,0208196101","-1,267046381","-0,610143052",5
10,2,0,746340,51556,493492,0,0,0,0,9424,33447,49,46,1,4,0,0 2025-10-22,"2,5244321637","-1,338901294","-0,866128366",6
5,0,0,748908,51564,493468,0,0,0,6,9641,33639,47,49,1,4,0,0 2025-10-22,"1,7643637808","-1,457283457","-0,370933653",5
6,0,0,746644,51564,493428,0,0,0,0,9339,33233,49,46,1,4,0,0 2025-10-22,"1,8521503855","-1,714844353","-0,62103203",5
8,0,0,758432,51564,493440,0,0,0,2,9437,33340,48,47,1,4,0,0 2025-10-22,"1,9540651442","-1,333299359","-0,919246071",6
4,2,0,752704,51564,493532,0,0,0,0,9460,33503,47,48,1,4,0,0 2025-10-22,"1,8547806408","-1,009535362","-1,135482625",6
6,0,0,750032,51564,493468,0,0,0,0,9394,33272,49,46,1,3,0,0 2025-10-22,"1,6183791125","-1,378860896","-0,665067393",6
12,0,0,745432,51572,493492,0,0,0,10,9413,33248,48,48,1,4,0,0 2025-10-22,"2,4371044922","-1,301907957","0,1298111104",5
7,0,0,744632,51572,493476,0,0,0,0,9524,33326,47,48,1,3,0,0 2025-10-22,"1,7695238691","-1,427187972","-0,421958564",5
5,0,0,745676,51572,493428,0,0,0,40,9490,33297,47,49,1,4,0,0 2025-10-22,"1,827626217","-1,942594962","1,2204728901",5
6,1,0,745004,51580,493476,0,0,0,28,9389,33321,47,49,1,4,0,0 2025-10-22,"2,0320619409","-1,59484032","0,5894995248",5
