r,b,free,buff,cache,bi,bo,in,cs,us,sy,id,wa,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Cluster
0,0,505820,43952,1055040,0,0,890,286,0,2,98,0,"1,3924041715","-2,1859897","-1,303533277","-0,288089059","-0,597043397","-0,128778065","-0,095303795","0,4625693949",1
0,0,504900,43952,1055040,0,0,805,304,0,1,99,0,"-0,306969565","-1,97578875","-0,28301325","0,1943543332","-0,059694537","-0,096543291","-0,414420427","-1,199304937",7
0,0,504204,43960,1055044,0,16,717,273,0,1,99,0,"-0,537682594","-2,068382418","-0,075168687","0,2979162288","0,2776496187","-0,403877799","-0,703041094","-1,019132741",7
0,0,504496,43960,1055044,0,0,787,292,0,1,99,0,"-0,382230485","-1,991374931","-0,323054006","0,2090254913","-0,033317647","-0,106394046","-0,439937932","-1,214265974",7
0,0,504768,43960,1055044,0,0,776,259,0,1,99,0,"-0,531127685","-2,031257944","-0,364957618","0,2163032629","-0,029427797","-0,112411071","-0,428536934","-1,138380882",7
0,0,505204,43960,1055080,0,0,876,317,0,1,99,0,"-0,098769327","-1,892119091","-0,305726805","0,1536410634","-0,105782234","-0,084365288","-0,415033061","-1,166488493",7
0,0,504972,43960,1055084,0,4,881,282,0,1,99,0,"-0,181428953","-1,925625614","-0,348346634","0,1706896276","-0,02354083","-0,168721424","-0,511407271","-1,066365033",7
0,0,504792,43968,1055084,0,20,807,308,0,1,98,0,"0,5417495373","-1,948960751","-0,033749623","0,1692957442","0,1646880787","-0,400709895","-0,560884353","-0,698274639",7
0,0,504576,43968,1055088,0,0,875,276,0,1,99,0,"-0,225100562","-1,925196097","-0,446803059","0,1663789765","-0,070398636","-0,105069696","-0,47321233","-1,139738003",7
0,0,504596,43968,1055088,0,0,699,279,0,1,99,0,"-0,649074887","-2,053611402","-0,253184142","0,2530633179","0,0056120129","-0,112420339","-0,404665506","-1,217393798",7
0,0,504228,43968,1055092,0,0,742,292,0,1,99,0,"-0,487226967","-2,010173633","-0,297773348","0,2337662044","-0,003185025","-0,112040686","-0,442102365","-1,251437684",7
0,0,505052,43968,1055092,0,0,982,430,0,2,98,0,"2,1335969472","-1,947792014","-1,135962979","-0,346822607","-0,648837484","-0,093225192","-0,131744008","0,1878474002",1
0,0,504788,43976,1055100,0,16,877,303,0,1,98,0,"0,676761009","-1,887281393","-0,179647832","0,12292428","0,0694601264","-0,327277876","-0,523432184","-0,7109329",7
